stasiun_id,horizon,level,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
107,1,siaga2,lstm,1026,79,113,0.9144385026737968,0.8423645320197044,0.9007901668129938,0.07149321266968325,1139
107,1,siaga2,persistence,968,170,171,0.8502415458937198,0.7394957983193278,0.8498683055311677,0.14938488576449913,1139
107,1,siaga3,lstm,11056,30,65,0.9957220696176882,0.9914805847009237,0.9941552018703353,0.0027061158217571712,11121
107,1,siaga3,persistence,10968,114,153,0.9879745980272936,0.9762349799732978,0.9862422444024818,0.01028695181375203,11121
107,6,siaga2,lstm,521,243,618,0.5475564897530215,0.37698986975397974,0.45741878841088673,0.3180628272251309,1139
107,6,siaga2,persistence,416,724,723,0.36507240017551557,0.22329575952764358,0.3652326602282704,0.6350877192982456,1139
107,6,siaga3,lstm,11056,266,50,0.9859104690565365,0.9722124516355962,0.9954979290473618,0.023494082317611728,11106
107,6,siaga3,persistence,10654,428,452,0.9603389219397873,0.9237038321484308,0.9593012785881505,0.038621187511279555,11106
107,12,siaga2,lstm,251,182,886,0.3197452229299363,0.19029567854435178,0.22075637642919965,0.42032332563510394,1137
107,12,siaga2,persistence,297,845,840,0.2606406318560772,0.14984863773965693,0.2612137203166227,0.7399299474605955,1137
107,12,siaga3,lstm,11072,386,16,0.9821697862148496,0.9649642670385219,0.9985569985569985,0.03368825274917089,11088
107,12,siaga3,persistence,10625,439,463,0.9592813289996388,0.9217489372776958,0.9582431457431457,0.03967823571945047,11088
107,24,siaga2,lstm,485,337,651,0.49540347293156284,0.3292600135777325,0.4269366197183099,0.4099756690997567,1136
107,24,siaga2,persistence,550,586,586,0.4841549295774648,0.31939605110336816,0.4841549295774648,0.5158450704225352,1136
107,24,siaga3,lstm,10931,213,126,0.9847304175487591,0.9699201419698315,0.9886045039341593,0.019113424264178034,11057
107,24,siaga3,persistence,10867,168,190,0.9837950389281188,0.9681069042316258,0.982816315456272,0.015224286361576802,11057
126,1,siaga2,lstm,0,0,0,,,,,0
126,1,siaga2,persistence,0,0,0,,,,,0
126,1,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,1,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,6,siaga2,lstm,0,0,0,,,,,0
126,6,siaga2,persistence,0,0,0,,,,,0
126,6,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,6,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,12,siaga2,lstm,0,0,0,,,,,0
126,12,siaga2,persistence,0,0,0,,,,,0
126,12,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,12,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,24,siaga2,lstm,0,0,0,,,,,0
126,24,siaga2,persistence,0,0,0,,,,,0
126,24,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,24,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
140,1,siaga2,lstm,3300,136,214,0.9496402877697842,0.9041095890410958,0.9391007398975526,0.03958090803259604,3514
140,1,siaga2,persistence,3135,360,379,0.8945641318305037,0.8092410944759938,0.892145702902675,0.10300429184549356,3514
140,1,siaga3,lstm,7243,98,483,0.961438906218889,0.9257413087934561,0.937483820864613,0.013349679880125323,7726
140,1,siaga3,persistence,7384,317,342,0.9572826861995203,0.918065398483153,0.9557338855811546,0.04116348526165433,7726
140,6,siaga2,lstm,2589,475,920,0.7877681424007302,0.6498493975903614,0.737817041892277,0.15502610966057442,3509
140,6,siaga2,persistence,1524,1975,1985,0.4349315068493151,0.2778993435448578,0.4343117697349672,0.5644469848528151,3509
140,6,siaga3,lstm,6579,250,1142,0.9043298969072165,0.8253669552126458,0.8520916979665847,0.03660858105139845,7721
140,6,siaga3,persistence,6157,1544,1564,0.7984697185838413,0.6645439827307069,0.797435565341277,0.2004934424100766,7721
140,12,siaga2,lstm,2599,268,904,0.8160125588697017,0.6892071068682047,0.7419354838709677,0.09347750261597489,3503
140,12,siaga2,persistence,612,2887,2891,0.17480719794344474,0.09577464788732394,0.17470739366257493,0.8250928836810517,3503
140,12,siaga3,lstm,6616,237,1099,0.9082921471718836,0.8319919517102615,0.857550226830849,0.03458339413395593,7715
140,12,siaga3,persistence,5684,2011,2031,0.7377027903958469,0.5844129138391939,0.736746597537265,0.26133853151397013,7715
140,24,siaga2,lstm,2722,280,773,0.8379251962444205,0.7210596026490066,0.778826895565093,0.09327115256495669,3495
140,24,siaga2,persistence,3034,456,461,0.8687186828919112,0.7679068590230321,0.8680972818311874,0.13065902578796562,3495
140,24,siaga3,lstm,6749,238,955,0.9187938193451773,0.8497859481238983,0.8760384215991692,0.0340632603406326,7704
140,24,siaga3,persistence,7255,421,449,0.9434330299089727,0.8929230769230769,0.9417185877466251,0.05484627410109432,7704
150,1,siaga2,lstm,76,13,44,0.7272727272727273,0.5714285714285714,0.6333333333333333,0.14606741573033707,120
150,1,siaga2,persistence,87,25,33,0.75,0.6,0.725,0.22321428571428573,120
150,1,siaga3,lstm,808,31,105,0.9223744292237442,0.8559322033898306,0.8849945235487404,0.03694874851013111,913
150,1,siaga3,persistence,812,75,101,0.9022222222222223,0.8218623481781376,0.8893756845564075,0.08455467869222097,913
150,6,siaga2,lstm,0,0,120,0.0,0.0,0.0,,120
150,6,siaga2,persistence,29,83,91,0.25,0.14285714285714285,0.24166666666666667,0.7410714285714286,120
150,6,siaga3,lstm,313,61,597,0.48753894080996885,0.3223480947476828,0.34395604395604396,0.16310160427807488,910
150,6,siaga3,persistence,569,318,341,0.6332776850306066,0.46335504885993484,0.6252747252747253,0.35851183765501693,910
150,12,siaga2,lstm,0,0,119,0.0,0.0,0.0,,119
150,12,siaga2,persistence,4,108,115,0.03463203463203463,0.01762114537444934,0.03361344537815126,0.9642857142857143,119
150,12,siaga3,lstm,108,66,800,0.19963031423290203,0.11088295687885011,0.11894273127753303,0.3793103448275862,908
150,12,siaga3,persistence,420,461,488,0.4695360536612633,0.30679327976625276,0.46255506607929514,0.5232690124858116,908
150,24,siaga2,lstm,0,0,108,0.0,0.0,0.0,,108
150,24,siaga2,persistence,5,107,103,0.045454545454545456,0.023255813953488372,0.046296296296296294,0.9553571428571429,108
150,24,siaga3,lstm,4,0,886,0.008948545861297539,0.0044943820224719105,0.0044943820224719105,0.0,890
150,24,siaga3,persistence,306,581,584,0.34440067529544177,0.2080217539089055,0.3438202247191011,0.6550169109357384,890
