event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,150,6,lstm,36,8,40,0.6,0.42857142857142855,0.47368421052631576,0.18181818181818182,76,2026-01-12 00:00:00,0.0
E2,150,6,persistence,46,24,30,0.6301369863013698,0.46,0.6052631578947368,0.34285714285714286,76,2026-01-12 00:00:00,0.0
E2,150,12,lstm,20,3,56,0.40404040404040403,0.25316455696202533,0.2631578947368421,0.13043478260869565,76,2026-01-12 00:00:00,0.0
E2,150,12,persistence,31,33,45,0.44285714285714284,0.28440366972477066,0.40789473684210525,0.515625,76,2026-01-12 00:00:00,0.0
E2,150,24,lstm,0,0,76,0.0,0.0,0.0,,76,2026-01-12 00:00:00,0.0
E2,150,24,persistence,3,51,73,0.046153846153846156,0.023622047244094488,0.039473684210526314,0.9444444444444444,76,2026-01-12 00:00:00,0.0
E6,150,1,lstm,38,3,4,0.9156626506024096,0.8444444444444444,0.9047619047619048,0.07317073170731707,42,2025-07-06 00:00:00,1.0
E6,150,1,persistence,30,3,12,0.8,0.6666666666666666,0.7142857142857143,0.09090909090909091,42,2025-07-06 00:00:00,1.0
E6,150,6,lstm,27,3,12,0.782608695652174,0.6428571428571429,0.6923076923076923,0.1,39,2025-07-06 00:00:00,1.0
E6,150,6,persistence,28,3,11,0.8,0.6666666666666666,0.717948717948718,0.0967741935483871,39,2025-07-06 00:00:00,1.0
E6,150,12,lstm,11,0,26,0.4583333333333333,0.2972972972972973,0.2972972972972973,0.0,37,2025-07-06 00:00:00,1.0
E6,150,12,persistence,24,1,13,0.7741935483870968,0.631578947368421,0.6486486486486487,0.04,37,2025-07-06 00:00:00,1.0
E6,150,24,lstm,4,0,21,0.27586206896551724,0.16,0.16,0.0,25,2025-07-06 00:00:00,1.0
E6,150,24,persistence,14,0,11,0.717948717948718,0.56,0.56,0.0,25,2025-07-06 00:00:00,1.0
E7,150,1,lstm,0,0,0,,,,,0,,
E7,150,1,persistence,0,0,0,,,,,0,,
E7,150,6,lstm,0,0,0,,,,,0,,
E7,150,6,persistence,0,0,0,,,,,0,,
E7,150,12,lstm,0,0,0,,,,,0,,
E7,150,12,persistence,0,0,0,,,,,0,,
E7,150,24,lstm,0,0,0,,,,,0,,
E7,150,24,persistence,0,0,0,,,,,0,,
E2,162,1,lstm,127,5,5,0.9621212121212122,0.927007299270073,0.9621212121212122,0.03787878787878788,132,2026-01-11 00:00:00,24.0
