event,stasiun_id,horizon,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours,t_first_obs_exceed,max_lead_hours
E2,184,6,lstm,0,0,72,0.0,0.0,0.0,,72,2026-01-11 01:00:00,0.0
E2,184,6,persistence,9,64,63,0.12413793103448276,0.0661764705882353,0.125,0.8767123287671232,72,2026-01-11 01:00:00,0.0
E2,184,12,lstm,0,0,72,0.0,0.0,0.0,,72,2026-01-11 01:00:00,0.0
E2,184,12,persistence,0,73,72,0.0,0.0,0.0,1.0,72,2026-01-11 01:00:00,0.0
E2,184,24,lstm,0,0,72,0.0,0.0,0.0,,72,2026-01-11 01:00:00,0.0
E2,184,24,persistence,54,11,18,0.7883211678832117,0.6506024096385542,0.75,0.16923076923076924,72,2026-01-11 01:00:00,0.0
E7,184,1,lstm,0,0,0,,,,,0,,
E7,184,1,persistence,0,0,0,,,,,0,,
E7,184,6,lstm,0,0,0,,,,,0,,
E7,184,6,persistence,0,0,0,,,,,0,,
E7,184,12,lstm,0,0,0,,,,,0,,
E7,184,12,persistence,0,0,0,,,,,0,,
E7,184,24,lstm,0,0,0,,,,,0,,
E7,184,24,persistence,0,0,0,,,,,0,,
E2,187,1,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 01:00:00,0.0
E2,187,1,persistence,47,12,12,0.7966101694915254,0.6619718309859155,0.7966101694915254,0.2033898305084746,59,2026-01-11 01:00:00,0.0
E2,187,6,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 01:00:00,0.0
E2,187,6,persistence,2,57,57,0.03389830508474576,0.017241379310344827,0.03389830508474576,0.9661016949152542,59,2026-01-11 01:00:00,0.0
E2,187,12,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 01:00:00,0.0
E2,187,12,persistence,0,59,59,0.0,0.0,0.0,1.0,59,2026-01-11 01:00:00,0.0
E2,187,24,lstm,0,0,59,0.0,0.0,0.0,,59,2026-01-11 01:00:00,0.0
E2,187,24,persistence,47,6,12,0.8392857142857143,0.7230769230769231,0.7966101694915254,0.11320754716981132,59,2026-01-11 01:00:00,0.0
E6,187,1,lstm,0,0,0,,,,,0,,
E6,187,1,persistence,0,0,0,,,,,0,,
E6,187,6,lstm,0,0,0,,,,,0,,
E6,187,6,persistence,0,0,0,,,,,0,,
E6,187,12,lstm,0,0,0,,,,,0,,
E6,187,12,persistence,0,0,0,,,,,0,,
E6,187,24,lstm,0,0,0,,,,,0,,
E6,187,24,persistence,0,0,0,,,,,0,,
E7,187,1,lstm,0,0,0,,,,,0,,
E7,187,1,persistence,0,0,0,,,,,0,,
E7,187,6,lstm,0,0,0,,,,,0,,
E7,187,6,persistence,0,0,0,,,,,0,,
E7,187,12,lstm,0,0,0,,,,,0,,
E7,187,12,persistence,0,0,0,,,,,0,,
E7,187,24,lstm,0,0,0,,,,,0,,
E7,187,24,persistence,0,0,0,,,,,0,,
