stasiun_id,horizon,loss,nse,f1_p95,pod_p95,far_p95,f1_rise,pod_rise,far_rise
140,6,mse,0.8402756364435907,0.653551912568306,0.5706106870229007,0.23529411764705882,0.6368932038834951,0.5963636363636363,0.31666666666666665
140,6,weighted_mse,0.8443493803343083,0.6448275862068965,0.5353053435114504,0.1893063583815029,0.6404040404040404,0.5763636363636364,0.27954545454545454
140,6,quantile,0.8595962469649845,0.6826347305389222,0.7070610687022901,0.340160284951024,0.6651549508692366,0.8,0.4307891332470893
140,12,mse,0.8215929789312841,0.613705275924803,0.4856046065259117,0.16639209225700163,0.6666666666666666,0.5784832451499118,0.21342925659472423
140,12,weighted_mse,0.8013584292890854,0.711900915455035,0.6343570057581573,0.18895705521472392,0.6933830382106244,0.656084656084656,0.2648221343873518
140,12,quantile,0.8152066038629988,0.6763326226012794,0.7610364683301344,0.3914044512663085,0.6110731373889269,0.7883597883597884,0.5011160714285714
164,6,mse,0.29359632695981164,0.8204666246284118,0.7196586599241467,0.0458830923947203,0.2700348432055749,0.3106212424849699,0.7611710323574731
164,6,weighted_mse,0.46643520478006406,0.939728011587672,0.922724399494311,0.0426299393343171,0.36731107205623903,0.4188376753507014,0.672926447574335
164,6,quantile,0.6176379952230382,0.9569842014703582,0.9668141592920354,0.05264787860018581,0.46235921754593956,0.781563126252505,0.6717171717171717
164,12,mse,-0.012288367586434035,0.5588039867109634,0.39990489776509747,0.07276736493936053,0.3420479302832244,0.2896678966789668,0.5824468085106383
164,12,weighted_mse,0.611468928378422,0.9470703893039717,0.9543509272467903,0.060099906337808304,0.38654012079378774,0.4132841328413284,0.6369529983792545
164,12,quantile,0.5811458447173596,0.9405894995394535,0.9711523220795689,0.08810834945676439,0.45901639344262296,0.6974169741697417,0.6579185520361991
181,6,mse,-0.1538507542894425,0.18415197672428546,0.10141376060320452,0.0,0.00946969696969697,0.004757373929590866,0.0
181,6,weighted_mse,0.11655902650002681,0.6986835689907362,0.5402450518378887,0.011383235598482234,0.02806361085126286,0.014272121788772598,0.16666666666666666
181,6,quantile,0.30198211882255144,0.8113522537562604,0.7328934967012253,0.09137648983407338,0.09515570934256055,0.05233111322549953,0.47619047619047616
181,12,mse,-0.3078305986947836,0.2538322070215922,0.14564024966899944,0.01282051282051282,0.04044117647058824,0.020637898686679174,0.0
181,12,weighted_mse,0.03630303944597901,0.5316560685651092,0.36372233780972196,0.012326656394453005,0.011194029850746268,0.005628517823639775,0.0
181,12,quantile,0.09058609606677526,0.6818763822605052,0.5540003782863627,0.11349878934624698,0.07205623901581722,0.038461538461538464,0.4305555555555556
