stasiun_id,stasiun_nama,horizon,n_train,n_val,n_test,n_test_flag0,lstm_nse,lstm_rmse,lstm_mae,lstm_nse_flag0,lstm_rmse_flag0,lstm_mae_flag0,persistence_nse,persistence_rmse,persistence_mae,persistence_nse_flag0,persistence_rmse_flag0,persistence_mae_flag0,f1_p95,pod_p95,far_p95
107,P.A. Cengkareng Drain,1,9830,2857,11560,11269,0.9799228841785526,4.079149883359317,2.652177788736941,0.9797080537338918,4.065073242127298,2.6416356623389623,0.9441775839996596,6.801791506374305,5.448931954243373,0.9419822555774734,6.873642543130704,5.54397592675612,0.8828828828828829,0.869031377899045,0.1028169014084507
107,P.A. Cengkareng Drain,6,9810,2857,11545,11254,0.7527274051452975,14.32303487788893,10.035253047521238,0.7537670347457491,14.16811705641957,9.952278023178417,-0.2934917299907016,32.7588678819236,27.292196258820336,-0.32800426834782126,32.90324825443963,27.43721133880633,0.43601895734597157,0.31420765027322406,0.28792569659442724
107,P.A. Cengkareng Drain,12,9791,2857,11527,11236,0.6816936223126608,16.25217034871625,10.199781257467693,0.6857512949188658,16.007317473827946,10.105973104902226,-1.384464707661584,44.48198353567374,36.926806124049556,-1.3962405220067002,44.20251844748615,36.67247342468062,0.4524421593830334,0.36114911080711354,0.3944954128440367
107,P.A. Cengkareng Drain,24,9755,2857,11493,11202,0.5922763785394294,18.40165160477877,11.062565926102678,0.603311997654892,17.99223025507472,10.898076892600823,0.48032297500529,20.774980557658346,12.844149434582741,0.4920366403572576,20.3599478370604,12.673644832027263,0.39245283018867927,0.28415300546448086,0.36585365853658536
126,P.A. Pulo Gadung 2,1,8431,1343,5761,5683,0.07863752052850026,24.991559162643515,15.602566534560115,0.07904354757170773,23.472254253333887,15.158715263520609,0.8564176058104064,9.865717730908068,4.161762590820047,0.8573920244790154,9.236494174385857,4.050684302109605,,,
126,P.A. Pulo Gadung 2,6,8414,1338,5751,5673,-0.07339325084044268,26.99525635406015,15.438144613279965,-0.08515959958573482,25.498524386880824,15.024183262800918,-0.0226297606782202,26.34918820957979,12.759532641666182,-0.05932067968681598,25.193120576585212,12.382925945511879,,,
126,P.A. Pulo Gadung 2,12,8396,1332,5739,5661,-0.3074681287231513,29.821786296801335,15.807746622696024,-0.3277496733398195,28.231927973246226,15.30450980340164,-0.4319167913377193,31.208794180078883,14.633093260537066,-0.48431530059102146,29.85008126912001,14.1905214037567,,,
126,P.A. Pulo Gadung 2,24,8360,1320,5723,5637,-0.46707527171121366,31.62897219013424,16.786764358379315,-0.5095877970512093,30.15519600379208,16.311783510868402,-0.5926899278204691,32.955241437408326,13.333140017029585,-0.686746943294551,31.87556807211177,12.931727376658191,,,
140,P.A. Marina Ancol (Laut),1,10065,2857,11755,8702,0.9778863256669408,6.838617199347692,4.849410284756246,0.9713006536229004,4.838804814989683,3.369156246022002,0.9758719829095929,7.14329614505801,4.791178222033178,0.9268363311934049,7.725913452536669,6.157640006128859,0.9098743267504489,0.9011379800853485,0.08121827411167512
140,P.A. Marina Ancol (Laut),6,10055,2857,11750,8697,0.8309145603973962,18.91124851009819,14.051961363972211,0.7158592658330778,15.227642442532147,10.801116319576144,0.5094516366601546,32.211282131301424,23.179672340425533,-0.6181060964959466,36.33870268241545,29.88744202981871,0.6638334041648959,0.5558718861209965,0.17616033755274263
140,P.A. Marina Ancol (Laut),12,10043,2857,11744,8691,0.8270666250958592,19.121390091518197,13.466235373110411,0.7676773722244236,13.763403838344665,9.240197669600532,0.12780999708816898,42.94233001730668,31.07048415131266,-1.8705764779746086,48.37986566848298,39.948435071493414,0.7176220806794055,0.5984419263456091,0.10392364793213149
