stasiun_id,stasiun_nama,horizon,n_train,n_val,n_test,n_test_flag0,lstm_nse,lstm_rmse,lstm_mae,lstm_nse_flag0,lstm_rmse_flag0,lstm_mae_flag0,persistence_nse,persistence_rmse,persistence_mae,persistence_nse_flag0,persistence_rmse_flag0,persistence_mae_flag0,f1_p95,pod_p95,far_p95
107,P.A. Cengkareng Drain,1,9830,2857,11560,11269,0.9561529024644775,6.028224618911498,3.083871243603534,0.9568050860344316,5.930930429249137,3.0639867915871166,0.9441775839996596,6.801791506374305,5.448931954243373,0.9419822555774734,6.873642543130704,5.54397592675612,0.8744479495268139,0.9454297407912687,0.18661971830985916
107,P.A. Cengkareng Drain,6,9810,2857,11545,11254,0.32538661637670885,23.65780962881078,19.053092921336987,0.32169806724368233,23.51530229301811,18.934616582014108,-0.2934917299907016,32.7588678819236,27.292196258820336,-0.32800426834782126,32.90324825443963,27.43721133880633,0.504594820384294,0.825136612021858,0.6365824308062575
107,P.A. Cengkareng Drain,12,9791,2857,11527,11236,0.3297772683472403,23.582957718493706,18.692801684091386,0.32571510366184053,23.447876927179667,18.580547284083636,-1.384464707661584,44.48198353567374,36.926806124049556,-1.3962405220067002,44.20251844748615,36.67247342468062,0.4334160463192721,0.7168262653898769,0.6893894487255483
107,P.A. Cengkareng Drain,24,9755,2857,11493,11202,0.26292719316384894,24.741672956024406,20.51813398288302,0.2709857901355003,24.390935870060456,20.337631591888474,0.48032297500529,20.774980557658346,12.844149434582741,0.4920366403572576,20.3599478370604,12.673644832027263,0.41332027424094026,0.5765027322404371,0.6778625954198473
126,P.A. Pulo Gadung 2,1,8431,1343,5761,5683,0.09049202596657036,24.830264498517256,14.601853545505993,0.0065508842481297735,24.378561016355764,14.393968638292105,0.8564176058104064,9.865717730908068,4.161762590820047,0.8573920244790154,9.236494174385857,4.050684302109605,,,
126,P.A. Pulo Gadung 2,6,8414,1338,5751,5673,-1.159696913942987,38.29168077865689,26.00841611154529,-1.4166140135712109,38.05150905313274,25.877727693360114,-0.0226297606782202,26.34918820957979,12.759532641666182,-0.05932067968681598,25.193120576585212,12.382925945511879,,,
126,P.A. Pulo Gadung 2,12,8396,1332,5739,5661,-3.0340593816660695,52.382864243066095,36.56696095732516,-3.520737462687131,52.09392482820663,36.39821567132464,-0.4319167913377193,31.208794180078883,14.633093260537066,-0.48431530059102146,29.85008126912001,14.1905214037567,,,
126,P.A. Pulo Gadung 2,24,8360,1320,5723,5637,-6.322203600220511,70.66100031618585,48.319801386683515,-7.290221858015247,70.66690060724329,48.21829976355753,-0.5926899278204691,32.955241437408326,13.333140017029585,-0.686746943294551,31.87556807211177,12.931727376658191,,,
140,P.A. Marina Ancol (Laut),1,10065,2857,11755,8702,0.958088734537915,9.414629345583435,6.537948367597937,0.9610293704884207,5.6385938303932965,3.9089667818056624,0.9758719829095929,7.14329614505801,4.791178222033178,0.9268363311934049,7.725913452536669,6.157640006128859,0.8933901918976546,0.8940256045519204,0.10724431818181818
140,P.A. Marina Ancol (Laut),6,10055,2857,11750,8697,0.8120359637367632,19.93905068545407,15.294910416272213,0.6979856927963901,15.699278005700863,11.751028903287207,0.5094516366601546,32.211282131301424,23.179672340425533,-0.6181060964959466,36.33870268241545,29.88744202981871,0.6621880998080614,0.7366548042704626,0.39860546194073215
