stasiun_id,stasiun_nama,horizon,n_train,n_val,n_test,n_test_flag0,lstm_nse,lstm_rmse,lstm_mae,lstm_nse_flag0,lstm_rmse_flag0,lstm_mae_flag0,persistence_nse,persistence_rmse,persistence_mae,persistence_nse_flag0,persistence_rmse_flag0,persistence_mae_flag0
107,P.A. Cengkareng Drain,1,9902,2857,11560,11269,0.9811632570629274,3.951135345003005,2.4039367120580497,0.9812510957910019,3.9074593453879727,2.391205677183394,0.9441775839996596,6.801791506374305,5.448931954243373,0.9419822555774734,6.873642543130704,5.54397592675612
107,P.A. Cengkareng Drain,6,9887,2857,11545,11254,0.6544458723517074,16.931876761809022,10.275385466569459,0.6550801158851514,16.768652101358963,10.190356020367114,-0.2934917299907016,32.7588678819236,27.292196258820336,-0.32800426834782126,32.90324825443963,27.43721133880633
107,P.A. Cengkareng Drain,12,9874,2857,11527,11236,0.5871220870426275,18.509706013258725,11.9755532418545,0.5926141386198938,18.225723872169972,11.863025258989865,-1.384464707661584,44.48198353567374,36.926806124049556,-1.3962405220067002,44.20251844748615,36.67247342468062
107,P.A. Cengkareng Drain,24,9850,2857,11493,11202,0.5801380177569716,18.67356094569774,11.509660814178098,0.5917582407995925,18.252366511637874,11.32588919919696,0.48032297500529,20.774980557658346,12.844149434582741,0.4920366403572576,20.3599478370604,12.673644832027263
140,P.A. Marina Ancol (Laut),1,10137,2857,11755,8702,0.9787968704303164,6.696345037220192,4.7311402052584555,0.9722104699952209,4.761488086971708,3.284325181627173,0.9758719829095929,7.14329614505801,4.791178222033178,0.9268363311934049,7.725913452536669,6.157640006128859
140,P.A. Marina Ancol (Laut),6,10132,2857,11750,8697,0.8402756364435907,18.380303544906397,13.756240042635202,0.7456044402667893,14.408563503475445,10.398165015761263,0.5094516366601546,32.211282131301424,23.179672340425533,-0.6181060964959466,36.33870268241545,29.88744202981871
140,P.A. Marina Ancol (Laut),12,10126,2857,11744,8691,0.8215929789312841,19.421645548399436,13.718278335142744,0.7699576548522691,13.695692307062213,9.276627634652087,0.12780999708816898,42.94233001730668,31.07048415131266,-1.8705764779746086,48.37986566848298,39.948435071493414
140,P.A. Marina Ancol (Laut),24,10122,2857,11733,8680,0.8564388746798566,17.425634471467223,11.994337469359428,0.7580101582434653,14.052977990306253,9.488410205197683,0.9017409377134189,14.41638860253933,6.943739946616448,0.8317175641074552,11.71896327322562,7.9473560822178335
150,P.S. Sunter Hulu,1,10225,2857,10204,8161,0.9690834995623911,5.789322630600054,2.3369467862813447,0.9638662373985417,6.337504897127836,2.659627084293688,0.9654503078883084,6.120045900272315,2.5469540827409656,0.9587175289977342,6.773990086391398,2.981883751498163
150,P.S. Sunter Hulu,6,10225,2857,10193,8149,0.6614057278906738,19.153009632778378,10.709106371543015,0.6481838581732537,19.769038604796386,11.265087472989201,0.6597691925707418,19.199240174710464,9.874791455898018,0.6251021571895388,20.407233767821346,10.978681526626938
150,P.S. Sunter Hulu,12,10225,2857,10186,8137,0.5295872920552471,22.54924532439898,13.361255952998874,0.5226357461584852,23.00330571218488,13.89440476507464,0.43356952965829243,24.7437655827508,13.706297686486192,0.3886634553667512,26.03187694971267,14.829832871101154
150,P.S. Sunter Hulu,24,10225,2857,10167,8122,0.4352607190163069,24.303654436416604,15.059324740150021,0.4017500959653727,25.712205064397,15.92616772031139,0.2851950532938333,27.34269750778251,15.319120560415518,0.24522794974583884,28.880579885015063,16.78940499647728
